"","onsets","conditions","durations"
"1",1.02549376804382,3,6
"2",9.24308467749506,5,6
"3",19.7515618363395,1,6
"4",28.0077157495543,2,6
"5",40.2655414361507,4,6
"6",50.6693614805117,3,6
"7",60.1570917749777,4,6
"8",68.5477023068815,2,6
"9",80.6083960821852,5,6
"10",89.7625436885282,1,6
"11",98.7438730569556,1,6
"12",110.4191111736,2,6
"13",120.088186485693,4,6
"14",130.090194734745,5,6
"15",140.10459908098,3,6
"16",151.107629652135,5,6
"17",158.140436870977,4,6
"18",170.614211288281,1,6
"19",181.056035409681,4,6
"20",188.848598773591,4,6
"21",201.80408123415,5,6
"22",211.784411412664,4,6
"23",218.302810957655,5,6
"24",228.877594526857,1,6
"25",240.219945237041,5,6
"26",251.520497786812,3,6
"27",259.52800097689,4,6
"28",269.445227085613,3,6
"29",281.330343025737,3,6
"30",291.338397879153,2,6
"31",298.771083788946,2,6
"32",308.365262265317,2,6
"33",318.103749265894,4,6
"34",329.644686742686,5,6
"35",341.599127140827,2,6
"36",348.852627368644,5,6
"37",358.909648768604,3,6
"38",371.771765808575,2,6
"39",379.179916300811,2,6
"40",389.723975906149,1,6
"41",401.316836030222,3,6
"42",410.803366964683,1,6
"43",420.504680166952,2,6
"44",430.970300518908,3,6
"45",438.011059211567,1,6
"46",450.414242248982,5,6
"47",460.93066673819,3,6
"48",471.216087841429,1,6
"49",480.383251590654,4,6
"50",488.373575568199,1,6
