0,9,6
8,12,6
16,9,6
24,5,6
32,2,6
40,9,6
48,8,6
56,3,6
64,10,6
72,7,6
80,8,6
88,12,6
96,6,6
104,4,6
112,7,6
120,1,6
128,5,6
136,10,6
144,11,6
152,10,6
160,8,6
168,7,6
176,2,6
184,10,6
192,5,6
200,7,6
208,6,6
216,1,6
224,10,6
232,10,6
240,9,6
248,1,6
256,1,6
264,4,6
272,10,6
280,2,6
288,8,6
296,2,6
304,4,6
312,4,6
320,2,6
328,11,6
336,4,6
344,3,6
352,7,6
360,9,6
368,11,6
376,1,6
384,8,6
392,5,6
400,9,6
408,7,6
416,10,6
424,1,6
432,9,6
440,9,6
448,6,6
456,11,6
464,7,6
472,4,6
480,12,6
488,1,6
496,3,6
504,8,6
512,4,6
520,6,6
528,5,6
536,6,6
544,2,6
552,3,6
560,2,6
568,2,6
576,12,6
584,12,6
592,11,6
600,8,6
608,6,6
616,6,6
624,8,6
632,1,6
640,7,6
648,3,6
656,12,6
664,3,6
672,5,6
680,3,6
688,3,6
696,11,6
704,11,6
712,6,6
720,12,6
728,4,6
736,5,6
744,12,6
752,5,6
760,11,6
