0,7,6
8,5,6
16,3,6
24,7,6
32,2,6
40,6,6
48,5,6
56,2,6
64,10,6
72,10,6
80,11,6
88,11,6
96,12,6
104,10,6
112,8,6
120,7,6
128,12,6
136,7,6
144,4,6
152,6,6
160,1,6
168,12,6
176,5,6
184,1,6
192,11,6
200,7,6
208,10,6
216,9,6
224,12,6
232,6,6
240,8,6
248,4,6
256,11,6
264,10,6
272,4,6
280,10,6
288,6,6
296,6,6
304,4,6
312,7,6
320,7,6
328,6,6
336,2,6
344,4,6
352,12,6
360,12,6
368,2,6
376,12,6
384,9,6
392,3,6
400,2,6
408,3,6
416,4,6
424,4,6
432,2,6
440,8,6
448,8,6
456,1,6
464,2,6
472,1,6
480,10,6
488,1,6
496,5,6
504,4,6
512,1,6
520,9,6
528,8,6
536,2,6
544,5,6
552,9,6
560,5,6
568,7,6
576,3,6
584,10,6
592,12,6
600,8,6
608,3,6
616,6,6
624,3,6
632,9,6
640,6,6
648,11,6
656,3,6
664,5,6
672,5,6
680,11,6
688,9,6
696,11,6
704,8,6
712,11,6
720,1,6
728,3,6
736,1,6
744,8,6
752,9,6
760,9,6
