0,6,6
8,9,6
16,10,6
24,1,6
32,7,6
40,12,6
48,10,6
56,3,6
64,5,6
72,1,6
80,10,6
88,5,6
96,9,6
104,3,6
112,2,6
120,12,6
128,3,6
136,4,6
144,2,6
152,8,6
160,2,6
168,2,6
176,3,6
184,9,6
192,4,6
200,12,6
208,8,6
216,3,6
224,1,6
232,9,6
240,1,6
248,2,6
256,5,6
264,5,6
272,6,6
280,7,6
288,2,6
296,10,6
304,9,6
312,12,6
320,1,6
328,3,6
336,12,6
344,9,6
352,8,6
360,12,6
368,11,6
376,11,6
384,4,6
392,8,6
400,4,6
408,3,6
416,11,6
424,8,6
432,6,6
440,12,6
448,5,6
456,8,6
464,8,6
472,11,6
480,9,6
488,7,6
496,5,6
504,12,6
512,6,6
520,11,6
528,10,6
536,8,6
544,7,6
552,9,6
560,2,6
568,11,6
576,3,6
584,7,6
592,1,6
600,4,6
608,5,6
616,7,6
624,10,6
632,4,6
640,1,6
648,11,6
656,7,6
664,7,6
672,6,6
680,10,6
688,2,6
696,6,6
704,6,6
712,1,6
720,6,6
728,4,6
736,10,6
744,11,6
752,5,6
760,4,6
